Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
35,Citadel,12,6,6,.500,-10.17,-0.62,0,1,3,3,3,3,1021,950,,78.3,105.4,.288,.454,.563,50.4,57.0,10.1,5.5,.539,16.9,27.6,.202
36,North Carolina-Greensboro,13,10,3,.769,10.70,0.87,1,0,7,2,3,1,908,732,,66.4,105.1,.235,.454,.511,52.9,50.9,11.5,16.4,.497,14.1,34.7,.141
37,Bryant,12,8,4,.667,-1.24,-4.78,0,0,4,1,4,3,892,804,,73.0,100.8,.255,.454,.521,51.7,54.6,11.4,11.8,.500,17.0,30.5,.168
38,George Washington,11,5,6,.455,-5.40,-4.31,0,0,3,3,0,2,745,757,,67.9,99.7,.335,.452,.528,48.2,50.2,7.4,9.1,.488,16.3,25.9,.248
39,Villanova,11,9,2,.818,15.41,5.23,0,0,5,0,1,1,860,748,,69.0,113.5,.274,.449,.583,53.4,58.8,9.0,9.1,.553,15.2,30.2,.211
40,Davidson,11,6,5,.545,9.34,4.16,0,0,3,0,2,1,772,715,,66.6,105.3,.237,.449,.567,48.3,48.9,9.3,5.7,.540,15.2,20.9,.181
41,Akron,12,9,3,.750,6.25,-1.65,0,0,7,0,1,2,906,760,,72.3,104.5,.354,.447,.552,51.9,56.6,7.2,8.1,.511,17.1,28.7,.267
42,Iona,6,2,4,.333,-5.46,-3.96,0,0,0,1,0,2,419,428,,69.1,97.0,.385,.447,.521,49.5,57.4,12.3,11.3,.476,19.3,30.6,.279
43,UC-Riverside,13,8,5,.615,-2.00,-5.91,0,0,6,1,2,4,846,737,,65.4,99.5,.261,.446,.538,55.0,55.5,7.8,6.7,.514,18.4,27.1,.180
44,California Baptist,12,8,4,.667,0.29,-6.89,0,0,7,2,1,2,983,848,,72.7,111.6,.360,.444,.577,54.1,54.9,5.0,7.7,.537,16.1,30.6,.278
45,Duquesne,11,10,1,.909,11.70,-2.85,0,0,5,0,0,0,818,658,,68.3,108.8,.316,.444,.573,53.7,53.8,12.0,17.0,.533,16.1,29.9,.251
46,Texas-Arlington,13,4,9,.308,3.19,7.01,0,2,3,2,1,6,910,901,,70.1,99.8,.300,.444,.515,49.3,57.0,7.6,8.5,.476,15.1,27.0,.224
47,Vanderbilt,11,7,4,.636,5.00,-3.36,0,0,7,2,0,1,873,781,,71.2,110.2,.381,.442,.579,51.1,52.3,11.5,12.8,.556,16.5,29.2,.255
48,Lafayette,10,7,3,.700,-1.30,-3.85,0,0,4,1,3,2,744,681,,68.2,109.1,.224,.441,.608,51.3,59.5,7.5,10.7,.587,18.7,24.2,.172
49,Vermont,13,8,5,.615,5.92,0.92,0,0,4,1,3,3,874,765,,66.8,100.6,.294,.441,.510,50.7,52.7,8.9,12.1,.478,15.1,27.7,.206
50,Belmont,12,8,4,.667,5.91,-4.18,0,0,5,0,3,3,978,818,,75.4,108.1,.205,.440,.575,51.6,58.9,9.7,9.4,.559,16.1,24.8,.145
51,Florida International,12,9,3,.750,0.72,-8.51,0,0,5,0,3,2,1009,845,,78.4,107.2,.293,.440,.580,48.2,55.6,13.7,17.2,.561,18.5,29.4,.199
52,North Texas,12,5,7,.417,6.35,4.62,0,0,4,2,1,3,792,734,,65.0,101.5,.260,.440,.556,53.4,50.0,10.3,7.9,.531,20.9,33.3,.188
53,Winthrop,13,6,7,.462,0.71,1.25,0,0,4,2,2,5,1017,935,,73.7,106.2,.287,.438,.540,53.8,54.8,8.1,7.3,.526,16.5,33.9,.176
54,Ohio,12,8,4,.667,0.31,0.61,0,0,5,1,2,1,877,803,,68.3,107.0,.285,.437,.574,51.9,61.8,9.8,7.9,.553,17.3,27.8,.196
55,Wisconsin,11,6,5,.545,12.04,6.32,1,1,6,0,0,2,764,701,,64.8,106.0,.331,.437,.555,52.2,48.7,7.8,10.7,.513,15.3,27.4,.259
56,Florida Gulf Coast,14,3,11,.214,-15.28,-2.53,0,0,3,5,0,6,856,973,,69.9,86.7,.259,.437,.473,48.0,60.7,9.5,12.8,.440,20.9,29.6,.182
57,Brigham Young,14,10,4,.714,17.33,8.02,0,0,5,1,1,2,1089,933,,69.5,109.9,.222,.436,.598,50.3,59.2,7.2,4.4,.584,15.9,19.9,.156
58,Northeastern,12,6,6,.500,0.43,-4.73,0,0,2,2,3,2,864,802,,65.8,109.4,.261,.436,.604,51.5,52.1,11.4,6.4,.572,18.8,27.1,.214
59,Princeton,11,3,8,.273,-5.54,0.28,0,0,0,4,1,3,794,858,,68.5,104.2,.317,.434,.547,50.9,50.7,8.4,4.9,.517,16.6,29.3,.223
60,Texas Christian,11,8,3,.727,10.80,0.70,0,0,7,2,0,0,796,674,,69.0,103.6,.218,.434,.527,52.4,62.3,13.8,14.1,.512,16.1,33.7,.139
61,Texas A&M-Corpus Christi,12,4,8,.333,-11.56,-3.66,0,2,3,3,1,5,743,784,,65.5,94.5,.296,.434,.518,51.9,54.8,7.6,6.4,.490,20.8,31.3,.200
62,Minnesota,11,6,5,.545,16.20,8.20,1,1,5,1,0,3,801,713,,68.9,105.8,.253,.433,.548,53.2,60.8,7.9,13.4,.530,17.1,31.9,.167
63,Miami (OH),12,6,6,.500,-5.03,-2.57,0,0,4,2,1,2,865,857,,71.3,101.1,.230,.433,.516,48.7,48.4,6.9,8.0,.484,14.4,25.9,.176
64,Toledo,12,8,4,.667,3.09,-5.36,0,0,5,1,3,3,953,801,,71.6,109.8,.410,.432,.562,52.6,60.4,10.6,10.2,.522,15.8,31.6,.300
65,Creighton,12,10,2,.833,12.28,3.45,0,0,8,0,1,1,935,829,,70.9,108.7,.281,.432,.573,50.1,52.1,9.3,5.9,.548,15.0,24.5,.203
66,Stony Brook,14,8,6,.571,-0.86,-1.09,0,0,3,1,3,5,972,922,,68.7,99.3,.296,.432,.521,52.7,48.7,8.5,14.9,.488,18.5,31.4,.211
67,Manhattan,9,4,5,.444,-9.53,-6.20,0,0,2,1,2,4,542,572,,67.6,87.8,.318,.431,.468,48.1,58.6,11.8,9.3,.436,18.3,27.5,.205
68,Dayton,12,10,2,.833,20.86,3.36,0,0,7,0,0,0,1005,795,,68.6,119.6,.301,.429,.633,52.7,63.3,8.2,9.3,.619,16.2,28.5,.209
69,Evansville,13,9,4,.692,-3.93,-3.35,0,0,5,1,3,1,1015,1004,,71.4,105.3,.409,.429,.572,47.1,53.3,6.3,5.8,.532,16.4,21.4,.303
70,Dartmouth,13,7,6,.538,-4.46,-6.04,0,0,3,1,3,4,885,817,,67.0,99.8,.267,.429,.539,52.0,52.6,6.9,9.0,.522,16.4,22.4,.170
71,Cornell,10,1,9,.100,-8.47,-3.47,0,0,1,2,0,7,650,700,,65.4,98.2,.251,.429,.500,49.2,56.9,10.3,6.8,.467,15.2,29.7,.184
72,Wyoming,13,4,9,.308,-6.99,-0.53,0,2,3,6,1,1,769,853,,65.8,88.2,.315,.429,.512,45.1,46.3,6.0,6.6,.479,18.6,13.3,.221
73,Auburn,11,11,0,1.000,18.84,3.21,0,0,6,0,1,0,900,728,,72.5,111.7,.423,.428,.557,54.2,50.8,9.7,15.1,.531,15.5,35.5,.275
74,North Carolina-Asheville,11,6,5,.545,-3.52,-3.52,0,0,4,1,2,4,895,829,,73.5,109.4,.292,.428,.554,47.8,40.3,13.2,5.5,.536,14.2,29.9,.189
