Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
35,Buffalo,12,8,4,.667,0.68,-0.96,0,0,4,2,1,1,967,912,,75.9,100.1,.304,.310,.527,47.8,53.7,9.8,11.6,.498,18.2,30.5,.210
36,Butler,12,11,1,.917,17.88,3.55,0,0,7,0,1,1,833,661,,63.5,86.7,.265,.395,.469,45.9,51.7,9.1,9.4,.442,18.7,24.0,.171
37,Cal Poly,12,2,10,.167,-11.88,2.76,0,0,2,2,0,6,750,867,,68.3,105.7,.383,.371,.567,54.3,53.7,10.2,7.5,.532,18.4,30.8,.277
38,Cal State Bakersfield,14,6,8,.429,-6.90,-0.53,0,0,5,3,1,5,1024,974,,67.6,100.3,.458,.429,.553,42.9,53.8,7.9,5.2,.517,18.2,23.9,.313
39,Cal State Fullerton,13,3,10,.231,-8.18,0.73,0,0,1,4,1,5,779,866,,68.6,97.1,.325,.325,.520,52.5,46.4,9.2,7.1,.488,17.0,24.3,.225
40,Cal State Northridge,13,3,10,.231,-10.24,2.68,0,0,2,2,1,7,922,1042,,71.5,112.2,.276,.450,.576,54.0,61.4,8.0,10.6,.553,15.9,33.0,.196
41,California Baptist,12,8,4,.667,0.29,-6.89,0,0,7,2,1,2,983,848,,72.7,96.3,.306,.332,.490,45.9,51.0,9.0,9.2,.462,13.7,25.2,.198
42,UC-Davis,14,5,9,.357,-6.02,-1.09,0,0,3,0,1,7,981,999,,67.8,103.4,.322,.388,.560,52.1,61.5,8.8,8.3,.521,17.6,27.1,.250
43,UC-Irvine,14,7,7,.500,1.41,0.74,0,0,3,1,2,5,1052,941,,72.4,92.8,.392,.404,.495,41.6,52.7,8.6,6.6,.448,16.0,22.1,.278
44,UC-Riverside,13,8,5,.615,-2.00,-5.91,0,0,6,1,2,4,846,737,,65.4,86.7,.313,.345,.454,45.0,48.7,8.6,8.0,.420,14.3,21.1,.202
