Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
338,Weber State,11,4,7,.364,-11.49,5.01,0,0,3,1,1,2,791,756,,440,287,636,.451,83,251,.331,99,139,.712,73,342,168,68,23,149,175
339,West Virginia,11,10,1,.909,17.82,4.55,0,0,6,0,2,1,831,685,,440,234,646,.362,56,228,.246,161,229,.703,120,372,94,82,27,160,246
340,Western Carolina,11,8,3,.727,1.47,-1.83,1,0,5,0,3,3,866,809,,450,293,662,.443,71,237,.300,152,220,.691,107,368,123,76,46,160,223
341,Western Illinois,10,3,7,.300,-12.53,-2.16,0,0,2,4,1,3,785,790,,400,286,626,.457,84,226,.372,134,195,.687,96,382,121,53,28,131,155
342,Western Kentucky,11,7,4,.636,5.12,0.82,0,0,5,0,1,2,884,798,,450,300,715,.420,81,268,.302,117,162,.722,134,386,136,65,29,142,207
343,Western Michigan,12,7,5,.583,-8.43,-4.23,0,0,5,1,2,2,881,854,,495,304,714,.426,84,264,.318,162,249,.651,125,453,124,68,36,156,261
344,Wichita State,11,10,1,.909,16.68,1.87,0,0,8,0,1,0,843,680,,440,234,616,.380,74,223,.332,138,216,.639,99,375,111,66,41,182,213
345,William & Mary,13,8,5,.615,-3.25,-3.33,0,0,4,0,4,4,955,894,,520,331,801,.413,84,265,.317,148,209,.708,106,418,143,89,48,128,206
346,Winthrop,13,6,7,.462,0.71,1.25,0,0,4,2,2,5,1017,935,,520,321,748,.429,106,298,.356,187,283,.661,116,445,175,94,49,191,251
347,Wisconsin,11,6,5,.545,12.04,6.32,1,1,6,0,0,2,764,701,,445,261,608,.429,71,197,.360,108,155,.697,87,341,119,57,32,131,198
348,Wofford,13,8,5,.615,-0.58,-1.49,0,0,5,1,3,4,971,892,,520,317,697,.455,94,263,.357,164,230,.713,115,404,173,72,33,157,202
349,Wright State,13,10,3,.769,3.09,-5.64,0,0,5,2,3,0,1050,898,,530,344,849,.405,94,290,.324,116,168,.690,147,485,121,68,38,192,244
350,Wyoming,13,4,9,.308,-6.99,-0.53,0,2,3,6,1,1,769,853,,530,306,736,.416,104,312,.333,137,231,.593,124,483,149,87,38,155,240
351,Xavier,13,11,2,.846,13.49,3.72,0,0,8,0,1,1,955,828,,535,292,756,.386,77,264,.292,167,234,.714,132,457,134,85,36,202,248
352,Yale,13,10,3,.769,8.99,1.40,0,0,3,0,5,3,955,807,,550,291,794,.366,84,311,.270,141,189,.746,116,440,146,104,39,169,224
353,Youngstown State,13,7,6,.538,-6.56,-3.74,0,0,6,1,1,5,921,878,,520,320,769,.416,91,270,.337,147,212,.693,128,468,160,69,35,176,220
