Rk,School,G-O,W-O,L-O,W-L%-O,SRS,SOS,W-C,L-C,W-H,L-H,W-A,L-A,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
341,Western Illinois,10,3,7,.300,-12.53,-2.16,0,0,2,4,1,3,785,790,,400,286,648,.441,84,219,.384,129,160,.806,88,356,119,55,21,111,172
342,Western Kentucky,11,7,4,.636,5.12,0.82,0,0,5,0,1,2,884,798,,450,310,630,.492,79,217,.364,185,237,.781,95,400,141,67,54,164,158
343,Western Michigan,12,7,5,.583,-8.43,-4.23,0,0,5,1,2,2,881,854,,495,288,693,.416,89,288,.309,216,304,.711,113,434,132,70,26,137,218
344,Wichita State,11,10,1,.909,16.68,1.87,0,0,8,0,1,0,843,680,,440,294,703,.418,91,261,.349,164,231,.710,141,448,175,82,49,132,204
345,William & Mary,13,8,5,.615,-3.25,-3.33,0,0,4,0,4,4,955,894,,520,345,744,.464,107,296,.361,158,221,.715,106,494,181,64,53,163,200
346,Winthrop,13,6,7,.462,0.71,1.25,0,0,4,2,2,5,1017,935,,520,374,828,.452,123,363,.339,146,238,.613,169,518,205,78,33,186,244
347,Wisconsin,11,6,5,.545,12.04,6.32,1,1,6,0,0,2,764,701,,445,263,595,.442,84,260,.323,154,197,.782,96,372,128,56,44,124,171
348,Wofford,13,8,5,.615,-0.58,-1.49,0,0,5,1,3,4,971,892,,520,342,739,.463,143,365,.392,144,187,.770,108,384,187,80,36,140,220
349,Wright State,13,10,3,.769,3.09,-5.64,0,0,5,2,3,0,1050,898,,530,383,842,.455,94,295,.319,190,273,.696,152,532,170,93,42,155,183
350,Wyoming,13,4,9,.308,-6.99,-0.53,0,2,3,6,1,1,769,853,,530,270,653,.413,85,280,.304,144,206,.699,55,396,125,52,28,172,230
351,Xavier,13,11,2,.846,13.49,3.72,0,0,8,0,1,1,955,828,,535,347,788,.440,84,278,.302,177,262,.676,156,516,187,94,48,186,230
352,Yale,13,10,3,.769,8.99,1.40,0,0,3,0,5,3,955,807,,550,341,733,.465,112,306,.366,161,240,.671,103,503,209,80,51,189,186
353,Youngstown State,13,7,6,.538,-6.56,-3.74,0,0,6,1,1,5,921,878,,520,339,813,.417,83,300,.277,160,248,.645,172,526,153,88,36,155,220
